HCPC,SHORT DESCRIPTION,LONG DESCRIPTION
L3931,Whfo nontorsion joint prefab,"Wrist hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, prefabricated, includes fitting and adjustment"
L3933,Fo w/o joints cf,"Finger orthosis, without joints, may include soft interface, custom fabricated, includes fitting and adjustment"
L3935,Fo nontorsion joint cf,"Finger orthosis, nontorsion joint, may include soft interface, custom fabricated, includes fitting and adjustment"
L3956,Add joint upper ext orthosis,"Addition of joint to upper extremity orthosis, any material; per joint"
L3960,Sewho airplan desig abdu pos,"Shoulder elbow wrist hand orthosis, abduction positioning, airplane design, prefabricated, includes fitting and adjustment"
L3961,Sewho cap design w/o jnts cf,"Shoulder elbow wrist hand orthosis, shoulder cap design, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3962,Sewho erbs palsey design abd,"Shoulder elbow wrist hand orthosis, abduction positioning, erb's palsey design, prefabricated, includes fitting and adjustment"
L3967,Sewho airplane w/o jnts cf,"Shoulder elbow wrist hand orthosis, abduction positioning (airplane design), thoracic component and support bar, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3971,Sewho cap design w/jnt(s) cf,"Shoulder elbow wrist hand orthosis, shoulder cap design, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3973,Sewho airplane w/jnt(s) cf,"Shoulder elbow wrist hand orthosis, abduction positioning (airplane design), thoracic component and support bar, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting an"
L3975,Sewhfo cap design w/o jnt cf,"Shoulder elbow wrist hand finger orthosis, shoulder cap design, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3976,Sewhfo airplane w/o jnts cf,"Shoulder elbow wrist hand finger orthosis, abduction positioning (airplane design), thoracic component and support bar, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3977,Sewhfo cap desgn w/jnt(s) cf,"Shoulder elbow wrist hand finger orthosis, shoulder cap design, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3978,Sewhfo airplane w/jnt(s) cf,"Shoulder elbow wrist hand finger orthosis, abduction positioning (airplane design), thoracic component and support bar, includes one or more nontorsion joints, elastic bands, turnbuckles, may include soft interface, straps, custom fabricated, includes fit"
L3980,Up ext fx orthos humeral nos,"Upper extremity fracture orthosis, humeral, prefabricated, includes fitting and adjustment"
L3981,Ue fx orth shoul cap forearm,"Upper extremity fracture orthosis, humeral, prefabricated, includes shoulder cap design, with or without joints, forearm section, may include soft interface, straps, includes fitting and adjustments"
L3982,Upper ext fx orthosis rad/ul,"Upper extremity fracture orthosis, radius/ulnar, prefabricated, includes fitting and adjustment"
L3984,Upper ext fx orthosis wrist,"Upper extremity fracture orthosis, wrist, prefabricated, includes fitting and adjustment"
L3995,Sock fracture or equal each,"Addition to upper extremity orthosis, sock, fracture or equal, each"
L3999,Upper limb orthosis nos,"Upper limb orthosis, not otherwise specified"
L4000,Repl girdle milwaukee orth,Replace girdle for spinal orthosis (ctlso or so)
L4002,"Replace strap, any orthosis","Replacement strap, any orthosis, includes all components, any length, any type"
L4010,Replace trilateral socket br,Replace trilateral socket brim
L4020,Replace quadlat socket brim,"Replace quadrilateral socket brim, molded to patient model"
L4030,Replace socket brim cust fit,"Replace quadrilateral socket brim, custom fitted"
L4040,Replace molded thigh lacer,"Replace molded thigh lacer, for custom fabricated orthosis only"
L4045,Replace non-molded thigh lac,"Replace non-molded thigh lacer, for custom fabricated orthosis only"
L4050,Replace molded calf lacer,"Replace molded calf lacer, for custom fabricated orthosis only"
L4055,Replace non-molded calf lace,"Replace non-molded calf lacer, for custom fabricated orthosis only"
L4060,Replace high roll cuff,Replace high roll cuff
L4070,Replace prox & dist upright,Replace proximal and distal upright for kafo
L4080,Repl met band kafo-afo prox,"Replace metal bands kafo, proximal thigh"
L4090,Repl met band kafo-afo calf/,"Replace metal bands kafo-afo, calf or distal thigh"
L4100,Repl leath cuff kafo prox th,"Replace leather cuff kafo, proximal thigh"
L4110,Repl leath cuff kafo-afo cal,"Replace leather cuff kafo-afo, calf or distal thigh"
L4130,Replace pretibial shell,Replace pretibial shell
L4205,Ortho dvc repair per 15 min,"Repair of orthotic device, labor component, per 15 minutes"
L4210,Orth dev repair/repl minor p,"Repair of orthotic device, repair or replace minor parts"
L4350,Ankle control ortho pre ots,"Ankle control orthosis, stirrup style, rigid, includes any type interface (e.g., pneumatic, gel), prefabricated, off-the-shelf"
L4360,Pneumat walking boot pre cst,"Walking boot, pneumatic and/or vacuum, with or without joints, with or without interface material, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L4361,Pneuma/vac walk boot pre ots,"Walking boot, pneumatic and/or vacuum, with or without joints, with or without interface material, prefabricated, off-the-shelf"
L4370,Pneum full leg splnt pre ots,"Pneumatic full leg splint, prefabricated, off-the-shelf"
L4386,Non-pneum walk boot pre cst,"Walking boot, non-pneumatic, with or without joints, with or without interface material, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L4387,Non-pneum walk boot pre ots,"Walking boot, non-pneumatic, with or without joints, with or without interface material, prefabricated, off-the-shelf"
L4392,Replace afo soft interface,"Replacement, soft interface material, static afo"
L4394,Replace foot drop spint,"Replace soft interface material, foot drop splint"
L4396,Static or dynami afo pre cst,"Static or dynamic ankle foot orthosis, including soft interface material, adjustable for fit, for positioning, may be used for minimal ambulation, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific"
L4397,Static or dynami afo pre ots,"Static or dynamic ankle foot orthosis, including soft interface material, adjustable for fit, for positioning, may be used for minimal ambulation, prefabricated, off-the-shelf"
L4398,Foot drop splint pre ots,"Foot drop splint, recumbent positioning device, prefabricated, off-the-shelf"
L4631,"Afo, walk boot type, cus fab","Ankle foot orthosis, walking boot type, varus/valgus correction, rocker bottom, anterior tibial shell, soft interface, custom arch support, plastic or other material, includes straps and closures, custom fabricated"
L5000,Sho insert w arch toe filler,"Partial foot, shoe insert with longitudinal arch, toe filler"
L5010,Mold socket ank hgt w/ toe f,"Partial foot, molded socket, ankle height, with toe filler"
L5020,Tibial tubercle hgt w/ toe f,"Partial foot, molded socket, tibial tubercle height, with toe filler"
L5050,Ank symes mold sckt sach ft,"Ankle, symes, molded socket, sach foot"
L5060,Symes met fr leath socket ar,"Ankle, symes, metal frame, molded leather socket, articulated ankle/foot"
L5100,Molded socket shin sach foot,"Below knee, molded socket, shin, sach foot"
L5105,Plast socket jts/thgh lacer,"Below knee, plastic socket, joints and thigh lacer, sach foot"
L5150,Mold sckt ext knee shin sach,"Knee disarticulation (or through knee), molded socket, external knee joints, shin, sach foot"
L5160,Mold socket bent knee shin s,"Knee disarticulation (or through knee), molded socket, bent knee configuration, external knee joints, shin, sach foot"
L5200,Kne sing axis fric shin sach,"Above knee, molded socket, single axis constant friction knee, shin, sach foot"
L5210,No knee/ankle joints w/ ft b,"Above knee, short prosthesis, no knee joint ('stubbies'), with foot blocks, no ankle joints, each"
L5220,No knee joint with artic ali,"Above knee, short prosthesis, no knee joint ('stubbies'), with articulated ankle/foot, dynamically aligned, each"
L5230,Fem focal defic constant fri,"Above knee, for proximal femoral focal deficiency, constant friction knee, shin, sach foot"
L5250,Hip canad sing axi cons fric,"Hip disarticulation, canadian type; molded socket, hip joint, single axis constant friction knee, shin, sach foot"
L5270,Tilt table locking hip sing,"Hip disarticulation, tilt table type; molded socket, locking hip joint, single axis constant friction knee, shin, sach foot"
L5280,Hemipelvect canad sing axis,"Hemipelvectomy, canadian type; molded socket, hip joint, single axis constant friction knee, shin, sach foot"
L5301,Bk mold socket sach ft endo,"Below knee, molded socket, shin, sach foot, endoskeletal system"
L5312,"Knee disart, sach ft, endo","Knee disarticulation (or through knee), molded socket, single axis knee, pylon, sach foot, endoskeletal system"
L5321,Ak open end sach,"Above knee, molded socket, open end, sach foot, endoskeletal system, single axis knee"
L5331,Hip disart canadian sach ft,"Hip disarticulation, canadian type, molded socket, endoskeletal system, hip joint, single axis knee, sach foot"
L5341,Hemipelvectomy canadian sach,"Hemipelvectomy, canadian type, molded socket, endoskeletal system, hip joint, single axis knee, sach foot"
L5400,Postop dress & 1 cast chg bk,"Immediate post surgical or early fitting, application of initial rigid dressing, including fitting, alignment, suspension, and one cast change, below knee"
L5410,Postop dsg bk ea add cast ch,"Immediate post surgical or early fitting, application of initial rigid dressing, including fitting, alignment and suspension, below knee, each additional cast change and realignment"
L5420,Postop dsg & 1 cast chg ak/d,"Immediate post surgical or early fitting, application of initial rigid dressing, including fitting, alignment and suspension and one cast change 'ak' or knee disarticulation"
L5430,Postop dsg ak ea add cast ch,"Immediate post surgical or early fitting, application of initial rigid dressing, incl. fitting, alignment and supension, 'ak' or knee disarticulation, each additional cast change and realignment"
L5450,Postop app non-wgt bear dsg,"Immediate post surgical or early fitting, application of non-weight bearing rigid dressing, below knee"
L5460,Postop app non-wgt bear dsg,"Immediate post surgical or early fitting, application of non-weight bearing rigid dressing, above knee"
L5500,Init bk ptb plaster direct,"Initial, below knee 'ptb' type socket, non-alignable system, pylon, no cover, sach foot, plaster socket, direct formed"
L5505,Init ak ischal plstr direct,"Initial, above knee - knee disarticulation, ischial level socket, non-alignable system, pylon, no cover, sach foot, plaster socket, direct formed"
L5510,Prep bk ptb plaster molded,"Preparatory, below knee 'ptb' type socket, non-alignable system, pylon, no cover, sach foot, plaster socket, molded to model"
L5520,Perp bk ptb thermopls direct,"Preparatory, below knee 'ptb' type socket, non-alignable system, pylon, no cover, sach foot, thermoplastic or equal, direct formed"
L5530,Prep bk ptb thermopls molded,"Preparatory, below knee 'ptb' type socket, non-alignable system, pylon, no cover, sach foot, thermoplastic or equal, molded to model"
L5535,Prep bk ptb open end socket,"Preparatory, below knee 'ptb' type socket, non-alignable system, no cover, sach foot, prefabricated, adjustable open end socket"
L5540,Prep bk ptb laminated socket,"Preparatory, below knee 'ptb' type socket, non-alignable system, pylon, no cover, sach foot, laminated socket, molded to model"
L5560,Prep ak ischial plast molded,"Preparatory, above knee- knee disarticulation, ischial level socket, non-alignable system, pylon, no cover, sach foot, plaster socket, molded to model"
L5570,Prep ak ischial direct form,"Preparatory, above knee - knee disarticulation, ischial level socket, non-alignable system, pylon, no cover, sach foot, thermoplastic or equal, direct formed"
